grade,ge100,ge101,size,fgpa,gender,msat,vsat,am1,am2,am3
2.7,2,1.7,33,3.003,Female,440,400,0,1,0
2.3,3,3.3,39,3.4820001,Male,540,550,0,1,0
3,4,3,31,3.2,Male,580,650,1,0,0
3.7,4,3,31,3.4400001,Male,630,600,0,1,0
1.7,2,1.7,33,2.0569999,Male,530,510,1,0,0
4,3.3,3,27,3.7850001,Female,570,640,1,0,0
1,3,2,36,2.3110001,Male,460,550,1,0,0
3.3,4,4,24,3.5999999,Male,530,500,1,0,0
1.7,2.3,2.7,23,2.984,Female,630,630,0,1,0
3,3,2,17,2.8529999,Male,610,430,1,0,0
4,4,2.7,29,2.678,Male,570,490,1,0,0
2.7,3,3,18,3.4809999,Male,620,670,1,0,0
2.3,3,2.7,39,2.948,Female,580,460,0,1,0
3,2,2,32,2.8340001,Male,690,570,0,1,0
3,3.7,4,27,3.266,Male,640,490,0,1,0
2,2,3,24,2.0280001,Male,610,490,0,1,0
2,2.7,2,31,2.0190001,Male,590,530,1,0,0
3.7,4,3.3,21,2.9230001,Female,560,490,1,0,0
3.3,2,2,18,1.992,Male,700,640,0,1,0
3.3,4,4,33,2.4920001,Male,680,630,1,0,0
2.3,3.7,3.3,27,3.3210001,Female,640,630,0,1,0
1.3,3,2.3,29,3.342,Male,660,660,0,1,0
1,3,2.7,27,2.48,Male,570,510,0,0,0
2,3,2,36,3.175,Female,600,670,1,0,0
3.7,3,2.3,17,3.602,Female,520,480,1,0,0
3,2.7,2,27,2.8269999,Female,600,600,0,1,0
4,3,3.3,32,2.78,Male,690,580,0,1,0
1.7,3,2,18,2.529,Male,720,590,0,1,0
2.7,3,2.3,36,2.3710001,Male,650,600,0,1,0
3.7,3.7,3.3,39,3.3889999,Male,670,560,0,1,0
4,4,4,32,2.6170001,Male,730,680,0,1,0
3.3,3,2.7,22,2.5929999,Female,530,550,1,0,0
3.7,4,3,27,3.678,Female,780,700,0,1,0
2.7,2.7,2,32,2.6949999,Male,610,640,1,0,0
3,3.3,2.7,28,2.9679999,Male,740,590,0,1,0
1,2,2.3,32,2.0810001,Male,650,540,1,0,0
3.7,3,3,39,3.7279999,Female,630,560,0,1,0
