group_id,GracePeriod,loanamount,Age,Married,Years_Education,HH_Size,Shock_Any,Has_Business,Homeowner
149,0,6000,40,1,5,4,0,1,1
149,0,6000,27,1,7,5,0,1,1
150,1,8000,41,1,0,6,1,1,0
150,1,8000,46,1,0,7,0,0,0
150,1,6000,31,0,10,9,0,0,1
150,1,8000,39,1,12,4,1,0,0
150,1,6000,40,1,6,6,0,1,1
151,1,8000,32,0,10,9,0,0,1
151,1,8000,51,0,10,1,0,0,1
151,1,8000,46,1,10,3,0,0,1
151,1,8000,49,1,10,2,0,1,0
151,1,8000,33,1,11,3,1,0,1
152,0,8000,25,1,3,3,0,0,1
152,0,6000,30,1,8,3,0,0,1
152,0,8000,42,0,7,5,1,1,1
152,0,8000,40,1,9,4,0,1,1
152,0,6000,29,1,7,3,0,0,1
153,0,8000,31,1,7,3,1,1,1
153,0,6000,49,1,9,3,1,0,0
153,0,8000,25,1,10,2,1,1,0
153,0,6000,32,1,12,4,1,1,0
153,0,8000,36,1,9,5,1,1,1
154,0,8000,28,1,10,5,1,1,1
154,0,8000,41,1,8,4,0,1,1
154,0,8000,39,0,10,2,0,1,1
154,0,8000,20,0,10,3,1,1,1
154,0,6000,28,1,7,4,1,1,1
155,1,8000,29,1,5,6,0,1,1
155,1,8000,39,1,0,4,0,0,0
155,1,8000,31,1,0,3,0,0,0
155,1,8000,37,1,1,6,0,0,0
155,1,8000,39,1,2,4,0,0,0
156,0,8000,32,1,5,4,0,0,0
156,0,8000,43,1,4,2,0,0,1
156,0,6000,45,0,6,3,0,1,1
156,0,8000,40,1,8,11,0,0,1
156,0,8000,41,1,5,4,0,0,0
157,1,8000,27,1,9,3,0,0,1
157,1,8000,26,1,12,3,1,1,1
157,1,8000,45,1,7,3,1,1,0
157,1,8000,38,1,8,5,1,0,1
157,1,8000,39,1,8,3,1,0,1
158,1,6000,42,1,0,4,0,0,0
158,1,8000,28,0,10,2,0,0,1
158,1,8000,51,1,0,8,0,1,0
158,1,8000,48,1,10,4,0,0,1
158,1,6000,45,1,0,4,0,0,0
159,0,6000,38,1,8,5,0,0,0
159,0,6000,37,1,8,8,0,1,0
159,0,8000,35,1,0,2,0,1,1
159,0,8000,40,1,4,3,0,0,0
159,0,8000,37,1,0,4,0,0,1
160,0,8000,29,1,5,4,0,0,0
160,0,8000,33,1,12,3,0,0,1
160,0,8000,28,1,9,3,0,0,1
160,0,8000,37,1,5,3,0,0,0
160,0,8000,22,1,8,2,0,0,0
161,0,8000,39,1,5,2,0,0,0
161,0,8000,36,1,9,4,0,0,0
161,0,6000,39,1,0,3,0,0,0
161,0,8000,28,0,0,3,0,0,0
161,0,8000,42,1,0,4,0,0,0
162,0,8000,27,1,9,3,0,1,0
162,0,8000,42,1,0,4,0,1,0
162,0,8000,50,1,8,4,0,1,1
162,0,6000,29,1,7,4,0,0,1
162,0,6000,30,1,10,4,0,0,1
163,0,8000,37,1,6,5,0,0,0
163,0,8000,48,1,8,5,1,1,0
163,0,6000,27,1,5,3,0,1,0
163,0,6000,38,1,5,3,0,1,1
163,0,6000,25,1,8,3,1,0,1
164,0,8000,46,1,10,3,0,0,0
164,0,8000,25,1,10,3,1,0,0
164,0,8000,39,1,8,3,1,1,1
164,0,8000,46,1,7,3,1,0,0
164,0,8000,29,1,10,3,1,0,1
165,1,8000,31,1,8,3,1,0,1
165,1,8000,36,1,5,5,1,1,1
165,1,8000,31,1,9,4,0,0,1
165,1,8000,28,0,9,6,0,0,1
165,1,6000,32,1,4,4,0,0,0
166,1,8000,38,1,1,2,0,0,0
166,1,8000,46,1,0,5,0,0,0
166,1,8000,33,1,2,5,0,0,0
166,1,8000,31,1,10,4,0,0,0
166,1,8000,23,0,10,3,0,0,0
167,0,5000,31,1,8,4,0,1,0
167,0,8000,27,1,8,4,1,1,1
167,0,8000,24,1,9,4,0,1,1
